Years,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1987,New Orleans Saints,San Francisco 49ers,Washington Redskins,Philadelphia Eagles,Indianapolis Colts,Minnesota Vikings,Denver Broncos,New England Patriots,Cleveland Browns,Buffalo Bills,Miami Dolphins,Tennessee Titans,Seattle Seahawks,Pittsburgh Steelers,Chicago Bears,Arizona Cardinals,Dallas Cowboys,New York Giants,St. Louis Rams,New York Jets,San Diego Chargers,Green Bay Packers,Atlanta Falcons,Oakland Raiders,Cincinnati Bengals,Kansas City Chiefs,Tampa Bay Buccaneers,Detroit Lions,Carolina Panthers,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1988,Cincinnati Bengals,Buffalo Bills,San Francisco 49ers,Minnesota Vikings,New England Patriots,Chicago Bears,Tennessee Titans,Indianapolis Colts,St. Louis Rams,Cleveland Browns,Denver Broncos,Seattle Seahawks,Oakland Raiders,New York Jets,Philadelphia Eagles,Kansas City Chiefs,New Orleans Saints,Green Bay Packers,Arizona Cardinals,Miami Dolphins,Atlanta Falcons,Tampa Bay Buccaneers,Washington Redskins,New York Giants,San Diego Chargers,Pittsburgh Steelers,Detroit Lions,Dallas Cowboys,Carolina Panthers,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1989,San Francisco 49ers,St. Louis Rams,Green Bay Packers,Denver Broncos,Minnesota Vikings,Cleveland Browns,Philadelphia Eagles,Chicago Bears,New York Giants,Cincinnati Bengals,Buffalo Bills,Pittsburgh Steelers,Tennessee Titans,Kansas City Chiefs,New Orleans Saints,Miami Dolphins,Oakland Raiders,Detroit Lions,San Diego Chargers,Indianapolis Colts,Seattle Seahawks,Washington Redskins,Tampa Bay Buccaneers,New England Patriots,New York Jets,Arizona Cardinals,Atlanta Falcons,Dallas Cowboys,Carolina Panthers,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1990,New York Giants,Buffalo Bills,San Francisco 49ers,Washington Redskins,Philadelphia Eagles,Miami Dolphins,Tennessee Titans,New Orleans Saints,Oakland Raiders,St. Louis Rams,Indianapolis Colts,Kansas City Chiefs,Seattle Seahawks,Chicago Bears,Dallas Cowboys,Cincinnati Bengals,Pittsburgh Steelers,Atlanta Falcons,Arizona Cardinals,Minnesota Vikings,Green Bay Packers,Denver Broncos,Detroit Lions,Tampa Bay Buccaneers,New York Jets,San Diego Chargers,Cleveland Browns,New England Patriots,Carolina Panthers,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1991,Washington Redskins,Dallas Cowboys,Philadelphia Eagles,Detroit Lions,San Francisco 49ers,New Orleans Saints,Atlanta Falcons,New York Giants,Chicago Bears,Tennessee Titans,Denver Broncos,Buffalo Bills,Kansas City Chiefs,Oakland Raiders,Tampa Bay Buccaneers,Minnesota Vikings,Arizona Cardinals,New England Patriots,San Diego Chargers,Miami Dolphins,Pittsburgh Steelers,Seattle Seahawks,New York Jets,Cleveland Browns,Cincinnati Bengals,Green Bay Packers,St. Louis Rams,Indianapolis Colts,Carolina Panthers,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1992,Dallas Cowboys,Buffalo Bills,Philadelphia Eagles,San Francisco 49ers,Washington Redskins,Miami Dolphins,Tennessee Titans,Kansas City Chiefs,Pittsburgh Steelers,Indianapolis Colts,New Orleans Saints,Oakland Raiders,San Diego Chargers,St. Louis Rams,Green Bay Packers,Arizona Cardinals,Denver Broncos,Minnesota Vikings,New York Jets,Cleveland Browns,New York Giants,Atlanta Falcons,Chicago Bears,Tampa Bay Buccaneers,Detroit Lions,Cincinnati Bengals,New England Patriots,Seattle Seahawks,Carolina Panthers,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1993,Buffalo Bills,Kansas City Chiefs,Dallas Cowboys,Miami Dolphins,Oakland Raiders,Tennessee Titans,Minnesota Vikings,Pittsburgh Steelers,Green Bay Packers,Denver Broncos,New York Giants,San Francisco 49ers,San Diego Chargers,Chicago Bears,Atlanta Falcons,New Orleans Saints,New York Jets,Detroit Lions,Cleveland Browns,Philadelphia Eagles,St. Louis Rams,Washington Redskins,Tampa Bay Buccaneers,Arizona Cardinals,Seattle Seahawks,New England Patriots,Cincinnati Bengals,Indianapolis Colts,Carolina Panthers,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1994,Minnesota Vikings,San Francisco 49ers,San Diego Chargers,New England Patriots,Miami Dolphins,Pittsburgh Steelers,Kansas City Chiefs,Detroit Lions,Dallas Cowboys,Chicago Bears,Green Bay Packers,Cleveland Browns,Buffalo Bills,Philadelphia Eagles,New York Jets,Oakland Raiders,Denver Broncos,Arizona Cardinals,New York Giants,Indianapolis Colts,Seattle Seahawks,Atlanta Falcons,Tampa Bay Buccaneers,New Orleans Saints,St. Louis Rams,Washington Redskins,Cincinnati Bengals,Tennessee Titans,Carolina Panthers,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1995,Dallas Cowboys,San Francisco 49ers,Green Bay Packers,Washington Redskins,Philadelphia Eagles,Detroit Lions,Indianapolis Colts,Miami Dolphins,Kansas City Chiefs,Pittsburgh Steelers,Buffalo Bills,Atlanta Falcons,Minnesota Vikings,New Orleans Saints,San Diego Chargers,Tampa Bay Buccaneers,Oakland Raiders,Chicago Bears,Carolina Panthers,St. Louis Rams,Denver Broncos,Seattle Seahawks,Cincinnati Bengals,Cleveland Browns,New England Patriots,Tennessee Titans,Arizona Cardinals,New York Giants,Jacksonville Jaguars,New York Jets,Houston Texans,Baltimore Ravens
1996,Green Bay Packers,Dallas Cowboys,Kansas City Chiefs,Denver Broncos,Buffalo Bills,New England Patriots,San Diego Chargers,Pittsburgh Steelers,Minnesota Vikings,Indianapolis Colts,Jacksonville Jaguars,Washington Redskins,Carolina Panthers,Philadelphia Eagles,Miami Dolphins,Seattle Seahawks,Oakland Raiders,San Francisco 49ers,Chicago Bears,New York Giants,Arizona Cardinals,Tampa Bay Buccaneers,Cincinnati Bengals,Tennessee Titans,Detroit Lions,St. Louis Rams,Baltimore Ravens,New Orleans Saints,Atlanta Falcons,New York Jets,Cleveland Browns,Houston Texans
1997,Denver Broncos,Green Bay Packers,Kansas City Chiefs,Pittsburgh Steelers,Jacksonville Jaguars,Tampa Bay Buccaneers,Detroit Lions,San Francisco 49ers,Miami Dolphins,New England Patriots,Philadelphia Eagles,New York Giants,New York Jets,Minnesota Vikings,Indianapolis Colts,Tennessee Titans,Dallas Cowboys,Washington Redskins,Buffalo Bills,Baltimore Ravens,Seattle Seahawks,Oakland Raiders,Cincinnati Bengals,Chicago Bears,New Orleans Saints,Atlanta Falcons,St. Louis Rams,Carolina Panthers,Arizona Cardinals,San Diego Chargers,Cleveland Browns,Houston Texans
1998,New York Jets,Atlanta Falcons,Denver Broncos,San Francisco 49ers,Miami Dolphins,Buffalo Bills,Minnesota Vikings,New York Giants,New England Patriots,Green Bay Packers,Tampa Bay Buccaneers,Jacksonville Jaguars,St. Louis Rams,Baltimore Ravens,Tennessee Titans,Dallas Cowboys,Pittsburgh Steelers,Indianapolis Colts,Detroit Lions,Oakland Raiders,New Orleans Saints,Arizona Cardinals,Washington Redskins,San Diego Chargers,Kansas City Chiefs,Seattle Seahawks,Chicago Bears,Carolina Panthers,Cincinnati Bengals,Philadelphia Eagles,Cleveland Browns,Houston Texans
1999,Indianapolis Colts,Buffalo Bills,Tennessee Titans,Miami Dolphins,New York Jets,Oakland Raiders,Detroit Lions,Tampa Bay Buccaneers,Washington Redskins,St. Louis Rams,Seattle Seahawks,Minnesota Vikings,New England Patriots,Dallas Cowboys,New York Giants,Kansas City Chiefs,Green Bay Packers,Philadelphia Eagles,Denver Broncos,San Diego Chargers,Jacksonville Jaguars,Arizona Cardinals,Chicago Bears,San Francisco 49ers,Baltimore Ravens,Carolina Panthers,New Orleans Saints,Atlanta Falcons,Pittsburgh Steelers,Cincinnati Bengals,Cleveland Browns,Houston Texans
2000,Miami Dolphins,Baltimore Ravens,New York Jets,Indianapolis Colts,Tennessee Titans,Tampa Bay Buccaneers,Green Bay Packers,Minnesota Vikings,Washington Redskins,Detroit Lions,Pittsburgh Steelers,New York Giants,Oakland Raiders,Buffalo Bills,Denver Broncos,Chicago Bears,St. Louis Rams,Philadelphia Eagles,Jacksonville Jaguars,New England Patriots,Kansas City Chiefs,Carolina Panthers,New Orleans Saints,Dallas Cowboys,Seattle Seahawks,Cincinnati Bengals,Cleveland Browns,San Francisco 49ers,Arizona Cardinals,Atlanta Falcons,San Diego Chargers,Houston Texans
2001,St. Louis Rams,New England Patriots,Pittsburgh Steelers,Tampa Bay Buccaneers,Green Bay Packers,Baltimore Ravens,Chicago Bears,New York Jets,Cincinnati Bengals,Philadelphia Eagles,Miami Dolphins,San Francisco 49ers,Tennessee Titans,Oakland Raiders,Jacksonville Jaguars,Denver Broncos,New Orleans Saints,Cleveland Browns,Washington Redskins,Minnesota Vikings,Seattle Seahawks,Atlanta Falcons,Indianapolis Colts,Arizona Cardinals,New York Giants,Dallas Cowboys,Kansas City Chiefs,San Diego Chargers,Buffalo Bills,Detroit Lions,Carolina Panthers,Houston Texans
2002,New Orleans Saints,Oakland Raiders,Tampa Bay Buccaneers,Tennessee Titans,Pittsburgh Steelers,Philadelphia Eagles,Atlanta Falcons,Miami Dolphins,San Francisco 49ers,New York Jets,Kansas City Chiefs,Cleveland Browns,Indianapolis Colts,New York Giants,Green Bay Packers,San Diego Chargers,Denver Broncos,New England Patriots,St. Louis Rams,Jacksonville Jaguars,Baltimore Ravens,Washington Redskins,Minnesota Vikings,Seattle Seahawks,Buffalo Bills,Carolina Panthers,Dallas Cowboys,Houston Texans,Chicago Bears,Arizona Cardinals,Detroit Lions,Cincinnati Bengals
2003,New England Patriots,Indianapolis Colts,Buffalo Bills,Philadelphia Eagles,Carolina Panthers,Washington Redskins,Tennessee Titans,Dallas Cowboys,Miami Dolphins,Tampa Bay Buccaneers,Denver Broncos,Minnesota Vikings,Kansas City Chiefs,Houston Texans,St. Louis Rams,Green Bay Packers,New Orleans Saints,San Francisco 49ers,Atlanta Falcons,New York Jets,Jacksonville Jaguars,Cincinnati Bengals,Seattle Seahawks,Baltimore Ravens,Chicago Bears,New York Giants,Arizona Cardinals,Detroit Lions,Oakland Raiders,Pittsburgh Steelers,Cleveland Browns,San Diego Chargers
2004,New England Patriots,Pittsburgh Steelers,Baltimore Ravens,Miami Dolphins,Indianapolis Colts,New York Jets,Denver Broncos,Kansas City Chiefs,San Diego Chargers,Cincinnati Bengals,Jacksonville Jaguars,Philadelphia Eagles,Atlanta Falcons,Buffalo Bills,St. Louis Rams,Houston Texans,Seattle Seahawks,Minnesota Vikings,Tennessee Titans,Cleveland Browns,New Orleans Saints,Green Bay Packers,Oakland Raiders,Arizona Cardinals,Carolina Panthers,Tampa Bay Buccaneers,Detroit Lions,New York Giants,Chicago Bears,Dallas Cowboys,Washington Redskins,San Francisco 49ers
2005,Denver Broncos,Pittsburgh Steelers,Indianapolis Colts,Kansas City Chiefs,San Diego Chargers,Seattle Seahawks,New England Patriots,New York Giants,Jacksonville Jaguars,Miami Dolphins,Washington Redskins,Cincinnati Bengals,Dallas Cowboys,Carolina Panthers,Tampa Bay Buccaneers,Baltimore Ravens,Chicago Bears,Buffalo Bills,Philadelphia Eagles,Minnesota Vikings,St. Louis Rams,Atlanta Falcons,Cleveland Browns,Green Bay Packers,New York Jets,Oakland Raiders,New Orleans Saints,San Francisco 49ers,Detroit Lions,Arizona Cardinals,Tennessee Titans,Houston Texans
2006,Indianapolis Colts,New England Patriots,Jacksonville Jaguars,Tennessee Titans,Dallas Cowboys,Baltimore Ravens,Houston Texans,New York Jets,San Diego Chargers,Denver Broncos,Miami Dolphins,Philadelphia Eagles,Kansas City Chiefs,Buffalo Bills,Chicago Bears,Cincinnati Bengals,New Orleans Saints,New York Giants,Carolina Panthers,Washington Redskins,Pittsburgh Steelers,Seattle Seahawks,Green Bay Packers,San Francisco 49ers,St. Louis Rams,Atlanta Falcons,Cleveland Browns,Tampa Bay Buccaneers,Detroit Lions,Minnesota Vikings,Arizona Cardinals,Oakland Raiders
2007,New York Giants,Dallas Cowboys,New England Patriots,Green Bay Packers,Washington Redskins,Chicago Bears,Minnesota Vikings,Philadelphia Eagles,San Diego Chargers,Indianapolis Colts,Jacksonville Jaguars,Seattle Seahawks,Tennessee Titans,Detroit Lions,Tampa Bay Buccaneers,Houston Texans,Denver Broncos,New Orleans Saints,Kansas City Chiefs,Carolina Panthers,Arizona Cardinals,Pittsburgh Steelers,Cleveland Browns,Buffalo Bills,Atlanta Falcons,San Francisco 49ers,Cincinnati Bengals,Oakland Raiders,Baltimore Ravens,St. Louis Rams,New York Jets,Miami Dolphins
2008,Indianapolis Colts,Tennessee Titans,New York Giants,Philadelphia Eagles,Pittsburgh Steelers,Baltimore Ravens,Minnesota Vikings,New York Jets,Chicago Bears,Houston Texans,Dallas Cowboys,Carolina Panthers,San Diego Chargers,Atlanta Falcons,Washington Redskins,Arizona Cardinals,Tampa Bay Buccaneers,Green Bay Packers,Jacksonville Jaguars,Miami Dolphins,Denver Broncos,New England Patriots,New Orleans Saints,Oakland Raiders,Cleveland Browns,Buffalo Bills,Cincinnati Bengals,San Francisco 49ers,St. Louis Rams,Seattle Seahawks,Kansas City Chiefs,Detroit Lions
2009,New Orleans Saints,New York Jets,Indianapolis Colts,Dallas Cowboys,New England Patriots,Carolina Panthers,San Diego Chargers,Buffalo Bills,Miami Dolphins,Pittsburgh Steelers,Denver Broncos,Baltimore Ravens,Minnesota Vikings,Atlanta Falcons,Cincinnati Bengals,Philadelphia Eagles,New York Giants,Houston Texans,Tampa Bay Buccaneers,Jacksonville Jaguars,Green Bay Packers,Tennessee Titans,Arizona Cardinals,Oakland Raiders,Cleveland Browns,Chicago Bears,Kansas City Chiefs,San Francisco 49ers,Washington Redskins,Seattle Seahawks,Detroit Lions,St. Louis Rams
2010,New England Patriots,New York Jets,Green Bay Packers,Pittsburgh Steelers,Baltimore Ravens,Chicago Bears,Atlanta Falcons,Philadelphia Eagles,New Orleans Saints,Miami Dolphins,Washington Redskins,Cleveland Browns,New York Giants,Detroit Lions,Indianapolis Colts,Dallas Cowboys,Tennessee Titans,Tampa Bay Buccaneers,Seattle Seahawks,Kansas City Chiefs,Jacksonville Jaguars,Houston Texans,San Diego Chargers,Minnesota Vikings,Oakland Raiders,Cincinnati Bengals,Arizona Cardinals,St. Louis Rams,Buffalo Bills,Denver Broncos,San Francisco 49ers,Carolina Panthers
2011,New York Giants,San Francisco 49ers,Green Bay Packers,Baltimore Ravens,New England Patriots,New Orleans Saints,Pittsburgh Steelers,Seattle Seahawks,Washington Redskins,Kansas City Chiefs,Philadelphia Eagles,Dallas Cowboys,Arizona Cardinals,Buffalo Bills,San Diego Chargers,Tennessee Titans,Denver Broncos,Houston Texans,New York Jets,Detroit Lions,Atlanta Falcons,Oakland Raiders,Cincinnati Bengals,Miami Dolphins,Chicago Bears,Jacksonville Jaguars,Tampa Bay Buccaneers,Carolina Panthers,St. Louis Rams,Indianapolis Colts,Cleveland Browns,Minnesota Vikings
2012,San Francisco 49ers,Seattle Seahawks,Baltimore Ravens,Minnesota Vikings,Green Bay Packers,New England Patriots,Atlanta Falcons,St. Louis Rams,Houston Texans,New York Giants,Washington Redskins,Indianapolis Colts,Chicago Bears,Denver Broncos,Pittsburgh Steelers,Cincinnati Bengals,Arizona Cardinals,Tampa Bay Buccaneers,Carolina Panthers,Dallas Cowboys,Miami Dolphins,New Orleans Saints,Philadelphia Eagles,New York Jets,Detroit Lions,Tennessee Titans,Cleveland Browns,Buffalo Bills,San Diego Chargers,Jacksonville Jaguars,Oakland Raiders,Kansas City Chiefs
2013,Seattle Seahawks,San Francisco 49ers,Indianapolis Colts,Arizona Cardinals,Carolina Panthers,New Orleans Saints,New England Patriots,Cincinnati Bengals,Miami Dolphins,San Diego Chargers,St. Louis Rams,Denver Broncos,New York Jets,Buffalo Bills,Baltimore Ravens,Philadelphia Eagles,Pittsburgh Steelers,Chicago Bears,Tennessee Titans,Kansas City Chiefs,Cleveland Browns,Dallas Cowboys,Green Bay Packers,Minnesota Vikings,Detroit Lions,Tampa Bay Buccaneers,Oakland Raiders,New York Giants,Atlanta Falcons,Washington Redskins,Houston Texans,Jacksonville Jaguars
2014,New England Patriots,Seattle Seahawks,Denver Broncos,Kansas City Chiefs,Arizona Cardinals,Green Bay Packers,Pittsburgh Steelers,Buffalo Bills,Dallas Cowboys,Indianapolis Colts,San Diego Chargers,San Francisco 49ers,Cincinnati Bengals,St. Louis Rams,Miami Dolphins,Baltimore Ravens,Philadelphia Eagles,Detroit Lions,New Orleans Saints,Carolina Panthers,Cleveland Browns,Oakland Raiders,Houston Texans,Atlanta Falcons,Washington Redskins,New York Jets,Minnesota Vikings,New York Giants,Chicago Bears,Tennessee Titans,Tampa Bay Buccaneers,Jacksonville Jaguars
