Years,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1980,Oakland Raiders,Philadelphia Eagles,Dallas Cowboys,San Diego Chargers,Atlanta Falcons,Buffalo Bills,Cleveland Browns,Minnesota Vikings,St. Louis Rams,Tennessee Titans,New England Patriots,Pittsburgh Steelers,Detroit Lions,Miami Dolphins,Denver Broncos,Kansas City Chiefs,Indianapolis Colts,Chicago Bears,Washington Redskins,San Francisco 49ers,Cincinnati Bengals,Tampa Bay Buccaneers,Green Bay Packers,Arizona Cardinals,Seattle Seahawks,New York Giants,New York Jets,New Orleans Saints,Jacksonville Jaguars,Carolina Panthers,Houston Texans,Baltimore Ravens
1981,San Francisco 49ers,Cincinnati Bengals,Dallas Cowboys,San Diego Chargers,Miami Dolphins,Buffalo Bills,Tampa Bay Buccaneers,New York Giants,New York Jets,Philadelphia Eagles,Denver Broncos,Kansas City Chiefs,Pittsburgh Steelers,Green Bay Packers,Washington Redskins,Detroit Lions,Tennessee Titans,Minnesota Vikings,Atlanta Falcons,Oakland Raiders,Arizona Cardinals,Seattle Seahawks,St. Louis Rams,Chicago Bears,Cleveland Browns,New Orleans Saints,Indianapolis Colts,New England Patriots,Jacksonville Jaguars,Carolina Panthers,Houston Texans,Baltimore Ravens
1982,Washington Redskins,Miami Dolphins,Dallas Cowboys,New York Jets,Oakland Raiders,San Diego Chargers,Green Bay Packers,Minnesota Vikings,Cincinnati Bengals,Pittsburgh Steelers,New England Patriots,Arizona Cardinals,Atlanta Falcons,Tampa Bay Buccaneers,Detroit Lions,Cleveland Browns,New Orleans Saints,Seattle Seahawks,New York Giants,Buffalo Bills,Philadelphia Eagles,Chicago Bears,Kansas City Chiefs,San Francisco 49ers,St. Louis Rams,Denver Broncos,Tennessee Titans,Indianapolis Colts,Jacksonville Jaguars,Carolina Panthers,Houston Texans,Baltimore Ravens
1983,Oakland Raiders,Washington Redskins,San Francisco 49ers,Seattle Seahawks,Miami Dolphins,Pittsburgh Steelers,Detroit Lions,St. Louis Rams,Dallas Cowboys,Denver Broncos,Cleveland Browns,Arizona Cardinals,New Orleans Saints,Green Bay Packers,New England Patriots,Minnesota Vikings,Chicago Bears,Buffalo Bills,Indianapolis Colts,New York Jets,Atlanta Falcons,Cincinnati Bengals,San Diego Chargers,Kansas City Chiefs,Philadelphia Eagles,New York Giants,Tampa Bay Buccaneers,Tennessee Titans,Jacksonville Jaguars,Carolina Panthers,Houston Texans,Baltimore Ravens
1984,San Francisco 49ers,Miami Dolphins,Chicago Bears,Pittsburgh Steelers,Denver Broncos,Seattle Seahawks,Washington Redskins,New York Giants,Oakland Raiders,St. Louis Rams,Dallas Cowboys,New England Patriots,Arizona Cardinals,Green Bay Packers,Kansas City Chiefs,Cincinnati Bengals,New Orleans Saints,New York Jets,San Diego Chargers,Philadelphia Eagles,Tampa Bay Buccaneers,Cleveland Browns,Detroit Lions,Indianapolis Colts,Atlanta Falcons,Tennessee Titans,Minnesota Vikings,Buffalo Bills,Jacksonville Jaguars,Carolina Panthers,Houston Texans,Baltimore Ravens
1985,Chicago Bears,New England Patriots,Miami Dolphins,St. Louis Rams,Oakland Raiders,Dallas Cowboys,New York Giants,Cleveland Browns,New York Jets,San Francisco 49ers,Denver Broncos,Washington Redskins,Seattle Seahawks,Green Bay Packers,San Diego Chargers,Pittsburgh Steelers,Philadelphia Eagles,Minnesota Vikings,Detroit Lions,Cincinnati Bengals,Kansas City Chiefs,Indianapolis Colts,New Orleans Saints,Tennessee Titans,Arizona Cardinals,Atlanta Falcons,Tampa Bay Buccaneers,Buffalo Bills,Jacksonville Jaguars,Carolina Panthers,Houston Texans,Baltimore Ravens
1986,New York Giants,Denver Broncos,Cleveland Browns,Washington Redskins,Chicago Bears,New England Patriots,San Francisco 49ers,New York Jets,Kansas City Chiefs,St. Louis Rams,Seattle Seahawks,Cincinnati Bengals,Minnesota Vikings,Miami Dolphins,Oakland Raiders,Atlanta Falcons,New Orleans Saints,Dallas Cowboys,Pittsburgh Steelers,Philadelphia Eagles,Tennessee Titans,Detroit Lions,Arizona Cardinals,Green Bay Packers,San Diego Chargers,Buffalo Bills,Indianapolis Colts,Tampa Bay Buccaneers,Jacksonville Jaguars,Carolina Panthers,Houston Texans,Baltimore Ravens
1987,Washington Redskins,Denver Broncos,Cleveland Browns,Minnesota Vikings,San Francisco 49ers,Chicago Bears,Indianapolis Colts,Tennessee Titans,New Orleans Saints,Seattle Seahawks,Pittsburgh Steelers,New England Patriots,Miami Dolphins,San Diego Chargers,Philadelphia Eagles,Dallas Cowboys,Buffalo Bills,Arizona Cardinals,New York Giants,New York Jets,St. Louis Rams,Green Bay Packers,Oakland Raiders,Tampa Bay Buccaneers,Detroit Lions,Kansas City Chiefs,Cincinnati Bengals,Atlanta Falcons,Jacksonville Jaguars,Carolina Panthers,Houston Texans,Baltimore Ravens
1988,San Francisco 49ers,Cincinnati Bengals,Buffalo Bills,Chicago Bears,Minnesota Vikings,Philadelphia Eagles,Tennessee Titans,Seattle Seahawks,Cleveland Browns,St. Louis Rams,New Orleans Saints,New York Giants,Indianapolis Colts,New England Patriots,New York Jets,Denver Broncos,Washington Redskins,Oakland Raiders,Arizona Cardinals,Miami Dolphins,San Diego Chargers,Tampa Bay Buccaneers,Pittsburgh Steelers,Atlanta Falcons,Kansas City Chiefs,Green Bay Packers,Detroit Lions,Dallas Cowboys,Jacksonville Jaguars,Carolina Panthers,Houston Texans,Baltimore Ravens
1989,San Francisco 49ers,Denver Broncos,St. Louis Rams,Cleveland Browns,New York Giants,Minnesota Vikings,Buffalo Bills,Pittsburgh Steelers,Philadelphia Eagles,Tennessee Titans,Green Bay Packers,Washington Redskins,New Orleans Saints,Kansas City Chiefs,Indianapolis Colts,Miami Dolphins,Oakland Raiders,Cincinnati Bengals,Seattle Seahawks,Detroit Lions,San Diego Chargers,Chicago Bears,Tampa Bay Buccaneers,New England Patriots,Arizona Cardinals,New York Jets,Atlanta Falcons,Dallas Cowboys,Jacksonville Jaguars,Carolina Panthers,Houston Texans,Baltimore Ravens
1990,New York Giants,Buffalo Bills,San Francisco 49ers,Oakland Raiders,Miami Dolphins,Chicago Bears,Washington Redskins,Cincinnati Bengals,Kansas City Chiefs,Philadelphia Eagles,Tennessee Titans,New Orleans Saints,Seattle Seahawks,Pittsburgh Steelers,Indianapolis Colts,Dallas Cowboys,Tampa Bay Buccaneers,Green Bay Packers,New York Jets,Minnesota Vikings,San Diego Chargers,Detroit Lions,Atlanta Falcons,St. Louis Rams,Denver Broncos,Arizona Cardinals,Cleveland Browns,New England Patriots,Jacksonville Jaguars,Carolina Panthers,Houston Texans,Baltimore Ravens
1991,Washington Redskins,Buffalo Bills,Denver Broncos,Detroit Lions,Tennessee Titans,Dallas Cowboys,Atlanta Falcons,Kansas City Chiefs,New Orleans Saints,Chicago Bears,Oakland Raiders,New York Jets,Philadelphia Eagles,San Francisco 49ers,New York Giants,Minnesota Vikings,Miami Dolphins,Seattle Seahawks,Pittsburgh Steelers,Cleveland Browns,New England Patriots,Green Bay Packers,San Diego Chargers,Arizona Cardinals,Tampa Bay Buccaneers,St. Louis Rams,Cincinnati Bengals,Indianapolis Colts,Jacksonville Jaguars,Carolina Panthers,Houston Texans,Baltimore Ravens
1992,Dallas Cowboys,Buffalo Bills,San Francisco 49ers,Miami Dolphins,Pittsburgh Steelers,Philadelphia Eagles,San Diego Chargers,Washington Redskins,New Orleans Saints,Minnesota Vikings,Kansas City Chiefs,Tennessee Titans,Indianapolis Colts,Green Bay Packers,Denver Broncos,Cleveland Browns,Oakland Raiders,New York Giants,Atlanta Falcons,St. Louis Rams,Tampa Bay Buccaneers,Chicago Bears,Detroit Lions,Cincinnati Bengals,New York Jets,Arizona Cardinals,Seattle Seahawks,New England Patriots,Jacksonville Jaguars,Carolina Panthers,Houston Texans,Baltimore Ravens
1993,Dallas Cowboys,Buffalo Bills,Kansas City Chiefs,San Francisco 49ers,New York Giants,Tennessee Titans,Oakland Raiders,Green Bay Packers,Detroit Lions,Denver Broncos,Pittsburgh Steelers,Minnesota Vikings,Miami Dolphins,New York Jets,New Orleans Saints,Cleveland Browns,Philadelphia Eagles,San Diego Chargers,Chicago Bears,Seattle Seahawks,Atlanta Falcons,Arizona Cardinals,Tampa Bay Buccaneers,Indianapolis Colts,New England Patriots,Washington Redskins,St. Louis Rams,Cincinnati Bengals,Jacksonville Jaguars,Carolina Panthers,Houston Texans,Baltimore Ravens
1994,San Francisco 49ers,San Diego Chargers,Pittsburgh Steelers,Dallas Cowboys,Cleveland Browns,Miami Dolphins,Chicago Bears,Green Bay Packers,Minnesota Vikings,New England Patriots,Detroit Lions,Kansas City Chiefs,New York Giants,Oakland Raiders,Indianapolis Colts,Arizona Cardinals,New Orleans Saints,Philadelphia Eagles,Atlanta Falcons,Denver Broncos,Buffalo Bills,Seattle Seahawks,Tampa Bay Buccaneers,New York Jets,St. Louis Rams,Washington Redskins,Cincinnati Bengals,Tennessee Titans,Jacksonville Jaguars,Carolina Panthers,Houston Texans,Baltimore Ravens
1995,Dallas Cowboys,Pittsburgh Steelers,Green Bay Packers,Indianapolis Colts,Kansas City Chiefs,San Francisco 49ers,Buffalo Bills,Philadelphia Eagles,Detroit Lions,Miami Dolphins,San Diego Chargers,Atlanta Falcons,Chicago Bears,Seattle Seahawks,Minnesota Vikings,Denver Broncos,Oakland Raiders,New Orleans Saints,Tampa Bay Buccaneers,Tennessee Titans,Carolina Panthers,St. Louis Rams,Cincinnati Bengals,New England Patriots,Washington Redskins,Cleveland Browns,New York Giants,Jacksonville Jaguars,Arizona Cardinals,New York Jets,Houston Texans,Baltimore Ravens
1996,Green Bay Packers,New England Patriots,Carolina Panthers,Jacksonville Jaguars,Denver Broncos,San Francisco 49ers,Dallas Cowboys,Pittsburgh Steelers,Buffalo Bills,Philadelphia Eagles,Minnesota Vikings,Indianapolis Colts,Washington Redskins,Kansas City Chiefs,Tennessee Titans,Miami Dolphins,San Diego Chargers,Cincinnati Bengals,Seattle Seahawks,Chicago Bears,Oakland Raiders,Arizona Cardinals,Tampa Bay Buccaneers,New York Giants,St. Louis Rams,Detroit Lions,Baltimore Ravens,New Orleans Saints,Atlanta Falcons,New York Jets,Cleveland Browns,Houston Texans
1997,Denver Broncos,Green Bay Packers,San Francisco 49ers,Pittsburgh Steelers,Kansas City Chiefs,New England Patriots,Tampa Bay Buccaneers,Minnesota Vikings,Jacksonville Jaguars,New York Giants,Detroit Lions,Miami Dolphins,New York Jets,Washington Redskins,Seattle Seahawks,Tennessee Titans,Atlanta Falcons,Carolina Panthers,Cincinnati Bengals,Philadelphia Eagles,Baltimore Ravens,New Orleans Saints,Dallas Cowboys,Buffalo Bills,St. Louis Rams,San Diego Chargers,Chicago Bears,Oakland Raiders,Arizona Cardinals,Indianapolis Colts,Cleveland Browns,Houston Texans
1998,Denver Broncos,Atlanta Falcons,Minnesota Vikings,New York Jets,San Francisco 49ers,Jacksonville Jaguars,Miami Dolphins,Arizona Cardinals,Green Bay Packers,Dallas Cowboys,Buffalo Bills,New England Patriots,Seattle Seahawks,Tampa Bay Buccaneers,Tennessee Titans,New York Giants,Oakland Raiders,Pittsburgh Steelers,Kansas City Chiefs,New Orleans Saints,Washington Redskins,Baltimore Ravens,San Diego Chargers,Detroit Lions,Carolina Panthers,St. Louis Rams,Chicago Bears,Indianapolis Colts,Philadelphia Eagles,Cincinnati Bengals,Cleveland Browns,Houston Texans
1999,St. Louis Rams,Tennessee Titans,Jacksonville Jaguars,Tampa Bay Buccaneers,Indianapolis Colts,Washington Redskins,Minnesota Vikings,Miami Dolphins,Buffalo Bills,Seattle Seahawks,Detroit Lions,Dallas Cowboys,Kansas City Chiefs,Green Bay Packers,New England Patriots,New York Jets,Carolina Panthers,San Diego Chargers,Oakland Raiders,Baltimore Ravens,New York Giants,Pittsburgh Steelers,Chicago Bears,Denver Broncos,Arizona Cardinals,Philadelphia Eagles,Atlanta Falcons,San Francisco 49ers,Cincinnati Bengals,New Orleans Saints,Cleveland Browns,Houston Texans
2000,Baltimore Ravens,New York Giants,Oakland Raiders,Minnesota Vikings,Tennessee Titans,Miami Dolphins,Philadelphia Eagles,New Orleans Saints,Denver Broncos,Indianapolis Colts,St. Louis Rams,Tampa Bay Buccaneers,Pittsburgh Steelers,Green Bay Packers,New York Jets,Detroit Lions,Washington Redskins,Buffalo Bills,Jacksonville Jaguars,Carolina Panthers,Kansas City Chiefs,Seattle Seahawks,San Francisco 49ers,Dallas Cowboys,New England Patriots,Chicago Bears,Atlanta Falcons,Cincinnati Bengals,Cleveland Browns,Arizona Cardinals,San Diego Chargers,Houston Texans
2001,New England Patriots,St. Louis Rams,Pittsburgh Steelers,Philadelphia Eagles,Chicago Bears,Green Bay Packers,Oakland Raiders,Baltimore Ravens,San Francisco 49ers,Miami Dolphins,New York Jets,Tampa Bay Buccaneers,Seattle Seahawks,Washington Redskins,Denver Broncos,New Orleans Saints,Cleveland Browns,Tennessee Titans,New York Giants,Atlanta Falcons,Arizona Cardinals,Indianapolis Colts,Jacksonville Jaguars,Kansas City Chiefs,Cincinnati Bengals,Dallas Cowboys,Minnesota Vikings,San Diego Chargers,Buffalo Bills,Detroit Lions,Carolina Panthers,Houston Texans
2002,Tampa Bay Buccaneers,Oakland Raiders,Philadelphia Eagles,Tennessee Titans,Pittsburgh Steelers,San Francisco 49ers,Atlanta Falcons,New York Jets,Green Bay Packers,Indianapolis Colts,New York Giants,Cleveland Browns,New Orleans Saints,New England Patriots,Miami Dolphins,Denver Broncos,San Diego Chargers,Buffalo Bills,Kansas City Chiefs,Seattle Seahawks,Washington Redskins,Carolina Panthers,St. Louis Rams,Baltimore Ravens,Jacksonville Jaguars,Minnesota Vikings,Dallas Cowboys,Arizona Cardinals,Chicago Bears,Houston Texans,Detroit Lions,Cincinnati Bengals
2003,New England Patriots,Carolina Panthers,Philadelphia Eagles,Indianapolis Colts,Kansas City Chiefs,Tennessee Titans,St. Louis Rams,Green Bay Packers,Baltimore Ravens,Dallas Cowboys,Denver Broncos,Seattle Seahawks,Miami Dolphins,Minnesota Vikings,New Orleans Saints,Cincinnati Bengals,Tampa Bay Buccaneers,Chicago Bears,San Francisco 49ers,Pittsburgh Steelers,New York Jets,Buffalo Bills,Cleveland Browns,Jacksonville Jaguars,Atlanta Falcons,Washington Redskins,Detroit Lions,Houston Texans,New York Giants,San Diego Chargers,Oakland Raiders,Arizona Cardinals
2004,New England Patriots,Philadelphia Eagles,Pittsburgh Steelers,Atlanta Falcons,Indianapolis Colts,New York Jets,St. Louis Rams,Minnesota Vikings,San Diego Chargers,Green Bay Packers,Denver Broncos,Seattle Seahawks,Jacksonville Jaguars,Buffalo Bills,Baltimore Ravens,New Orleans Saints,Cincinnati Bengals,Carolina Panthers,Houston Texans,Kansas City Chiefs,Dallas Cowboys,New York Giants,Washington Redskins,Detroit Lions,Arizona Cardinals,Tampa Bay Buccaneers,Tennessee Titans,Chicago Bears,Oakland Raiders,Cleveland Browns,Miami Dolphins,San Francisco 49ers
2005,Pittsburgh Steelers,Seattle Seahawks,Denver Broncos,Carolina Panthers,Indianapolis Colts,Chicago Bears,New England Patriots,Washington Redskins,Jacksonville Jaguars,Tampa Bay Buccaneers,New York Giants,Cincinnati Bengals,Kansas City Chiefs,Dallas Cowboys,Minnesota Vikings,Miami Dolphins,San Diego Chargers,Atlanta Falcons,Cleveland Browns,Philadelphia Eagles,St. Louis Rams,Baltimore Ravens,Buffalo Bills,Detroit Lions,Arizona Cardinals,Green Bay Packers,Tennessee Titans,New York Jets,Oakland Raiders,San Francisco 49ers,New Orleans Saints,Houston Texans
2006,Indianapolis Colts,Chicago Bears,New England Patriots,New Orleans Saints,San Diego Chargers,Baltimore Ravens,Philadelphia Eagles,Seattle Seahawks,New York Jets,Kansas City Chiefs,Dallas Cowboys,New York Giants,Denver Broncos,Pittsburgh Steelers,Green Bay Packers,Tennessee Titans,Jacksonville Jaguars,Carolina Panthers,St. Louis Rams,Cincinnati Bengals,Atlanta Falcons,Buffalo Bills,San Francisco 49ers,Minnesota Vikings,Miami Dolphins,Houston Texans,Washington Redskins,Arizona Cardinals,Tampa Bay Buccaneers,Cleveland Browns,Detroit Lions,Oakland Raiders
2007,New York Giants,New England Patriots,Green Bay Packers,San Diego Chargers,Dallas Cowboys,Indianapolis Colts,Jacksonville Jaguars,Seattle Seahawks,Pittsburgh Steelers,Tennessee Titans,Washington Redskins,Tampa Bay Buccaneers,Cleveland Browns,Philadelphia Eagles,Minnesota Vikings,Houston Texans,Arizona Cardinals,New Orleans Saints,Carolina Panthers,Chicago Bears,Denver Broncos,Buffalo Bills,Detroit Lions,Cincinnati Bengals,San Francisco 49ers,Baltimore Ravens,New York Jets,Atlanta Falcons,Oakland Raiders,Kansas City Chiefs,St. Louis Rams,Miami Dolphins
2008,Pittsburgh Steelers,Arizona Cardinals,Baltimore Ravens,Philadelphia Eagles,Tennessee Titans,Carolina Panthers,New York Giants,San Diego Chargers,Indianapolis Colts,Atlanta Falcons,Miami Dolphins,Minnesota Vikings,New England Patriots,Tampa Bay Buccaneers,Dallas Cowboys,New York Jets,Chicago Bears,New Orleans Saints,Washington Redskins,Denver Broncos,Houston Texans,Buffalo Bills,San Francisco 49ers,Green Bay Packers,Jacksonville Jaguars,Oakland Raiders,Cincinnati Bengals,Seattle Seahawks,Cleveland Browns,St. Louis Rams,Kansas City Chiefs,Detroit Lions
2009,New Orleans Saints,Indianapolis Colts,Minnesota Vikings,New York Jets,San Diego Chargers,Dallas Cowboys,Arizona Cardinals,Baltimore Ravens,Philadelphia Eagles,Green Bay Packers,Cincinnati Bengals,New England Patriots,Pittsburgh Steelers,Atlanta Falcons,Houston Texans,Tennessee Titans,New York Giants,Carolina Panthers,Denver Broncos,San Francisco 49ers,Jacksonville Jaguars,Miami Dolphins,Chicago Bears,Buffalo Bills,Seattle Seahawks,Cleveland Browns,Oakland Raiders,Washington Redskins,Kansas City Chiefs,Tampa Bay Buccaneers,Detroit Lions,St. Louis Rams
2010,Green Bay Packers,Pittsburgh Steelers,Chicago Bears,New York Jets,New England Patriots,Atlanta Falcons,Baltimore Ravens,Seattle Seahawks,New Orleans Saints,Indianapolis Colts,Philadelphia Eagles,Kansas City Chiefs,Tampa Bay Buccaneers,New York Giants,San Diego Chargers,Jacksonville Jaguars,Oakland Raiders,Miami Dolphins,St. Louis Rams,Tennessee Titans,Dallas Cowboys,Minnesota Vikings,Washington Redskins,Detroit Lions,Houston Texans,San Francisco 49ers,Cleveland Browns,Arizona Cardinals,Denver Broncos,Buffalo Bills,Cincinnati Bengals,Carolina Panthers
2011,New York Giants,New England Patriots,San Francisco 49ers,Baltimore Ravens,Green Bay Packers,New Orleans Saints,Houston Texans,Denver Broncos,Pittsburgh Steelers,Detroit Lions,Atlanta Falcons,Cincinnati Bengals,Tennessee Titans,Philadelphia Eagles,Dallas Cowboys,New York Jets,San Diego Chargers,Chicago Bears,Oakland Raiders,Arizona Cardinals,Seattle Seahawks,Kansas City Chiefs,Miami Dolphins,Carolina Panthers,Buffalo Bills,Jacksonville Jaguars,Washington Redskins,Tampa Bay Buccaneers,Cleveland Browns,Minnesota Vikings,Indianapolis Colts,St. Louis Rams
2012,Baltimore Ravens,San Francisco 49ers,Atlanta Falcons,New England Patriots,Denver Broncos,Houston Texans,Green Bay Packers,Seattle Seahawks,Indianapolis Colts,Minnesota Vikings,Cincinnati Bengals,Washington Redskins,Chicago Bears,New York Giants,Pittsburgh Steelers,Dallas Cowboys,St. Louis Rams,New Orleans Saints,Tampa Bay Buccaneers,Miami Dolphins,Carolina Panthers,San Diego Chargers,Tennessee Titans,New York Jets,Buffalo Bills,Cleveland Browns,Arizona Cardinals,Philadelphia Eagles,Detroit Lions,Oakland Raiders,Jacksonville Jaguars,Kansas City Chiefs
2013,Seattle Seahawks,Denver Broncos,New England Patriots,San Francisco 49ers,Carolina Panthers,Indianapolis Colts,New Orleans Saints,San Diego Chargers,Kansas City Chiefs,Cincinnati Bengals,Philadelphia Eagles,Green Bay Packers,Arizona Cardinals,Pittsburgh Steelers,Dallas Cowboys,New York Jets,Miami Dolphins,Chicago Bears,Baltimore Ravens,Tennessee Titans,New York Giants,St. Louis Rams,Detroit Lions,Buffalo Bills,Minnesota Vikings,Tampa Bay Buccaneers,Cleveland Browns,Jacksonville Jaguars,Atlanta Falcons,Oakland Raiders,Washington Redskins,Houston Texans
2014,New England Patriots,Seattle Seahawks,Green Bay Packers,Indianapolis Colts,Denver Broncos,Dallas Cowboys,Baltimore Ravens,Carolina Panthers,Arizona Cardinals,Pittsburgh Steelers,Detroit Lions,Cincinnati Bengals,Philadelphia Eagles,San Diego Chargers,Buffalo Bills,Houston Texans,Kansas City Chiefs,Miami Dolphins,San Francisco 49ers,New Orleans Saints,Cleveland Browns,Minnesota Vikings,New York Giants,Atlanta Falcons,St. Louis Rams,Chicago Bears,New York Jets,Washington Redskins,Jacksonville Jaguars,Oakland Raiders,Tampa Bay Buccaneers,Tennessee Titans
