Years,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
2005,Denver Broncos,Kansas City Chiefs,San Diego Chargers,New York Giants,Washington Redskins,Indianapolis Colts,Seattle Seahawks,Miami Dolphins,Dallas Cowboys,Jacksonville Jaguars,Tampa Bay Buccaneers,New England Patriots,Pittsburgh Steelers,Carolina Panthers,Chicago Bears,Cincinnati Bengals,Minnesota Vikings,Philadelphia Eagles,Buffalo Bills,Atlanta Falcons,St. Louis Rams,Green Bay Packers,New York Jets,Oakland Raiders,Cleveland Browns,Baltimore Ravens,San Francisco 49ers,New Orleans Saints,Arizona Cardinals,Detroit Lions,Tennessee Titans,Houston Texans
2006,Indianapolis Colts,Baltimore Ravens,New England Patriots,Jacksonville Jaguars,San Diego Chargers,Tennessee Titans,Denver Broncos,New York Jets,Dallas Cowboys,Kansas City Chiefs,Miami Dolphins,Houston Texans,Cincinnati Bengals,Philadelphia Eagles,Carolina Panthers,Chicago Bears,Buffalo Bills,New York Giants,New Orleans Saints,Pittsburgh Steelers,Washington Redskins,Seattle Seahawks,Green Bay Packers,Atlanta Falcons,San Francisco 49ers,St. Louis Rams,Cleveland Browns,Tampa Bay Buccaneers,Minnesota Vikings,Detroit Lions,Arizona Cardinals,Oakland Raiders
2007,New England Patriots,Indianapolis Colts,Dallas Cowboys,Green Bay Packers,San Diego Chargers,Tennessee Titans,Chicago Bears,Washington Redskins,Jacksonville Jaguars,Philadelphia Eagles,Minnesota Vikings,Tampa Bay Buccaneers,New York Giants,Houston Texans,Detroit Lions,Seattle Seahawks,New Orleans Saints,Denver Broncos,Carolina Panthers,Kansas City Chiefs,Arizona Cardinals,Pittsburgh Steelers,Cleveland Browns,Cincinnati Bengals,San Francisco 49ers,Atlanta Falcons,Buffalo Bills,Oakland Raiders,Baltimore Ravens,St. Louis Rams,New York Jets,Miami Dolphins
2008,Indianapolis Colts,Tennessee Titans,New York Giants,Pittsburgh Steelers,Houston Texans,New York Jets,Minnesota Vikings,Philadelphia Eagles,Chicago Bears,Atlanta Falcons,Carolina Panthers,Tampa Bay Buccaneers,Baltimore Ravens,Dallas Cowboys,Green Bay Packers,Jacksonville Jaguars,Denver Broncos,Miami Dolphins,Washington Redskins,San Diego Chargers,New England Patriots,New Orleans Saints,Oakland Raiders,Cleveland Browns,Arizona Cardinals,Buffalo Bills,San Francisco 49ers,Cincinnati Bengals,Seattle Seahawks,St. Louis Rams,Kansas City Chiefs,Detroit Lions
2009,New York Jets,Indianapolis Colts,New Orleans Saints,San Diego Chargers,Pittsburgh Steelers,Denver Broncos,New England Patriots,Dallas Cowboys,Buffalo Bills,Miami Dolphins,Carolina Panthers,Cincinnati Bengals,Baltimore Ravens,Houston Texans,Minnesota Vikings,Philadelphia Eagles,Atlanta Falcons,Jacksonville Jaguars,New York Giants,Green Bay Packers,Oakland Raiders,Tennessee Titans,Arizona Cardinals,Tampa Bay Buccaneers,Cleveland Browns,Chicago Bears,Kansas City Chiefs,San Francisco 49ers,Washington Redskins,Seattle Seahawks,Detroit Lions,St. Louis Rams
2010,New England Patriots,New York Jets,Baltimore Ravens,Pittsburgh Steelers,Atlanta Falcons,Philadelphia Eagles,Green Bay Packers,Chicago Bears,Cleveland Browns,New Orleans Saints,Washington Redskins,Indianapolis Colts,New York Giants,Miami Dolphins,Dallas Cowboys,Tennessee Titans,Tampa Bay Buccaneers,San Diego Chargers,Jacksonville Jaguars,Houston Texans,Detroit Lions,Kansas City Chiefs,Oakland Raiders,Cincinnati Bengals,Minnesota Vikings,Seattle Seahawks,Arizona Cardinals,St. Louis Rams,Buffalo Bills,Denver Broncos,San Francisco 49ers,Carolina Panthers
2011,Baltimore Ravens,Green Bay Packers,Kansas City Chiefs,San Francisco 49ers,Pittsburgh Steelers,New Orleans Saints,New England Patriots,New York Giants,San Diego Chargers,Tennessee Titans,Houston Texans,Seattle Seahawks,Buffalo Bills,Dallas Cowboys,Detroit Lions,Oakland Raiders,Arizona Cardinals,New York Jets,Denver Broncos,Atlanta Falcons,Philadelphia Eagles,Jacksonville Jaguars,Cincinnati Bengals,Chicago Bears,Miami Dolphins,Washington Redskins,Tampa Bay Buccaneers,Carolina Panthers,St. Louis Rams,Indianapolis Colts,Cleveland Browns,Minnesota Vikings
2012,Seattle Seahawks,San Francisco 49ers,Minnesota Vikings,Green Bay Packers,New England Patriots,St. Louis Rams,Indianapolis Colts,New York Giants,Houston Texans,Chicago Bears,Atlanta Falcons,Washington Redskins,Baltimore Ravens,Arizona Cardinals,Tampa Bay Buccaneers,Miami Dolphins,Pittsburgh Steelers,Denver Broncos,Cincinnati Bengals,Carolina Panthers,Dallas Cowboys,New Orleans Saints,New York Jets,Detroit Lions,Philadelphia Eagles,Tennessee Titans,Buffalo Bills,Jacksonville Jaguars,Cleveland Browns,San Diego Chargers,Kansas City Chiefs,Oakland Raiders
2013,Seattle Seahawks,Indianapolis Colts,Arizona Cardinals,San Francisco 49ers,Carolina Panthers,New Orleans Saints,New England Patriots,Cincinnati Bengals,Miami Dolphins,San Diego Chargers,St. Louis Rams,New York Jets,Buffalo Bills,Denver Broncos,Baltimore Ravens,Pittsburgh Steelers,Chicago Bears,Philadelphia Eagles,Tennessee Titans,Kansas City Chiefs,Cleveland Browns,Green Bay Packers,Dallas Cowboys,Minnesota Vikings,Detroit Lions,Tampa Bay Buccaneers,New York Giants,Oakland Raiders,Atlanta Falcons,Washington Redskins,Houston Texans,Jacksonville Jaguars
2014,Seattle Seahawks,Denver Broncos,Kansas City Chiefs,New England Patriots,Arizona Cardinals,Pittsburgh Steelers,Dallas Cowboys,San Francisco 49ers,San Diego Chargers,St. Louis Rams,Cincinnati Bengals,Buffalo Bills,Green Bay Packers,Philadelphia Eagles,Miami Dolphins,Indianapolis Colts,Baltimore Ravens,Detroit Lions,Cleveland Browns,New Orleans Saints,Carolina Panthers,Houston Texans,Atlanta Falcons,Oakland Raiders,Washington Redskins,New York Jets,Minnesota Vikings,New York Giants,Chicago Bears,Tampa Bay Buccaneers,Tennessee Titans,Jacksonville Jaguars
